user_id,product_id,rating,review
U1,P2,1,Decent value for the price
U3,P1,1,Fast shipping and well packaged
U2,P1,4,Poor customer service
U3,P1,1,Fast shipping and well packaged
U1,P12,1,Not worth the money
U3,P1,2,Terrible experience, would not recommend
U1,P1,5,Good product
U1,P1,4,Not worth the money
U1,P2,5,Bad!
U2,P1,1,Poor customer service
U1,P1,4,Good product
U1,P14,3,Works fine but could be better
U1,P1,1,Bad!
U34,P1,3,Not worth the money
U1,P1,5,Good product
U1,P2,5,Bad!
U1,P1,2,Decent value for the price
U1,P1,4,Amazing, exceeded my expectations
U20,P1,2,Decent value for the price
U5,P1,1,Poor customer service
U1,P77,5,Bad!
U1,P4,1,Amazing, exceeded my expectations
U1,P2,3,Bad!
U1,P2,2,Bad!
U1,P1,1,Good product
U1,P1,2,Amazing, exceeded my expectations
U1,P1,5,Excellent quality, very satisfied
U1,P1,1,Fast shipping and well packaged
U1,P2,4,Terrible experience, would not recommend
U3,P1,5,Amazing, exceeded my expectations
U1,P8,3,Works fine but could be better
U1,P1,3,Bad!
U2,P3,3,Excellent quality, very satisfied
U2,P2,1,Not worth the money
U3,P2,5,Excellent quality, very satisfied
U3,P1,1,Poor customer service
U2,P1,5,Good product
U1,P1,3,Terrible experience, would not recommend
U3,P1,2,Not worth the money
U3,P2,5,Bad!
U2,P1,4,Good product
U3,P1,3,Works fine but could be better
U2,P2,5,Terrible experience, would not recommend
U1,P1,3,Decent value for the price
U1,P11,4,Poor customer service
U5,P3,4,Amazing, exceeded my expectations
U1,P7,5,Not worth the money
U1,P1,2,Excellent quality, very satisfied
U1,P1,2,Decent value for the price
U1,P1,2,Works fine but could be better
U2,P30,1,Poor customer service
U1,P1,2,Terrible experience, would not recommend
U6,P3,1,Good product
U2,P14,4,Excellent quality, very satisfied
U1,P1,2,Fast shipping and well packaged
U1,P1,4,Excellent quality, very satisfied
U1,P2,5,Poor customer service
U1,P1,4,Good product
U1,P4,4,Good product
U1,P1,3,Poor customer service
U1,P1,3,Bad!
U5,P1,2,Poor customer service
U1,P5,5,Good product
U1,P1,4,Terrible experience, would not recommend
U4,P33,2,Terrible experience, would not recommend
U2,P2,1,Not worth the money
U1,P1,4,Excellent quality, very satisfied
U29,P3,4,Fast shipping and well packaged
U1,P4,3,Amazing, exceeded my expectations
U1,P54,4,Not worth the money
U3,P1,5,Good product
U1,P1,1,Good product
U1,P1,3,Works fine but could be better
U1,P1,4,Terrible experience, would not recommend
U2,P3,5,Fast shipping and well packaged
U4,P92,5,Good product
U6,P5,2,Decent value for the price
U1,P11,5,Decent value for the price
U1,P2,1,Bad!
U1,P1,4,Amazing, exceeded my expectations
U1,P2,1,Good product
U63,P1,2,Good product
U1,P1,5,Good product
U4,P2,2,Excellent quality, very satisfied
U2,P1,1,Poor customer service
U3,P1,5,Fast shipping and well packaged
U11,P1,4,Bad!
U11,P4,3,Fast shipping and well packaged
U1,P2,5,Not worth the money
U3,P18,1,Poor customer service
U1,P1,3,Not worth the money
U7,P3,2,Not worth the money
U95,P1,2,Terrible experience, would not recommend
U7,P1,5,Fast shipping and well packaged
U4,P4,5,Bad!
U1,P1,2,Bad!
U1,P2,2,Poor customer service
U1,P1,3,Works fine but could be better
U2,P1,5,Terrible experience, would not recommend
U5,P1,5,Good product
